index,id,label,weights,measured_R,measured_G,measured_B,estimated_R,estimated_G,estimated_B,x,y,L,a,b
1,black,BLACK solid,"{""black"":100}",72,71,82,70,71,80,0.295306,0.297364,30.6245,2.9592,-6.3928
2,white,WHITE solid,"{""white"":100}",151,161,161,151,161,160,0.303326,0.328995,65.4689,-3.5446,-1.2256
3,yellow,YELLOW solid,"{""yellow"":100}",164,154,69,163,154,69,0.401447,0.451646,62.8726,-7.5112,45.0810
4,red,RED solid,"{""red"":100}",120,70,71,118,69,70,0.410382,0.327203,35.6534,21.5614,8.6294
5,blue,BLUE solid,"{""blue"":100}",60,99,136,60,97,134,0.227167,0.246014,40.6722,-2.3424,-24.7103
6,green,GREEN solid,"{""green"":100}",79,103,77,77,100,76,0.312416,0.394866,41.0541,-14.5846,11.8314
7,white_black_25,WHITE 75 / BLACK 25,"{""white"":75,""black"":25}",130,138,142,128,135,138,0.300136,0.322148,56.9539,-2.0868,-3.1425
8,white_black_50,WHITE 50 / BLACK 50,"{""white"":50,""black"":50}",112,118,123,107,112,117,0.299578,0.319208,49.2911,-1.1860,-3.5216
9,white_black_75,WHITE 25 / BLACK 75,"{""white"":25,""black"":75}",93,96,104,88,90,98,0.297362,0.310564,40.7228,0.6005,-4.9443
10,white_yellow_25,WHITE 75 / YELLOW 25,"{""white"":75,""yellow"":25}",155,159,141,154,159,134,0.325147,0.356529,64.7142,-4.7611,8.9077
11,white_yellow_50,WHITE 50 / YELLOW 50,"{""white"":50,""yellow"":50}",158,157,121,157,157,110,0.347428,0.384452,63.9693,-5.7496,19.0268
12,white_yellow_75,WHITE 25 / YELLOW 75,"{""white"":25,""yellow"":75}",161,156,97,160,156,88,0.373433,0.418556,63.5225,-7.1535,31.5428
13,white_red_25,WHITE 75 / RED 25,"{""white"":75,""red"":25}",143,142,141,142,135,134,0.314791,0.330661,59.0749,0.1740,0.6608
14,white_red_50,WHITE 50 / RED 50,"{""white"":50,""red"":50}",136,122,120,134,111,111,0.332530,0.332643,52.4087,5.0014,3.0486
15,white_red_75,WHITE 25 / RED 75,"{""white"":25,""red"":75}",129,99,97,126,89,89,0.361137,0.333063,44.8779,11.7784,5.7991
16,white_blue_25,WHITE 75 / BLUE 25,"{""white"":75,""blue"":25}",133,148,155,125,144,153,0.291375,0.317583,60.3667,-3.8540,-5.5092
17,white_blue_50,WHITE 50 / BLUE 50,"{""white"":50,""blue"":50}",113,134,149,101,127,147,0.276006,0.302222,54.7933,-4.0356,-10.5278
18,white_blue_75,WHITE 25 / BLUE 75,"{""white"":25,""blue"":75}",90,118,143,79,112,140,0.255640,0.279514,48.4020,-3.5382,-16.8375
19,white_green_25,WHITE 75 / GREEN 25,"{""white"":75,""green"":25}",141,151,140,130,145,136,0.312901,0.346843,61.3851,-5.7520,4.5580
20,white_green_50,WHITE 50 / GREEN 50,"{""white"":50,""green"":50}",127,140,121,111,129,114,0.317669,0.362821,56.7313,-8.4632,8.5644
21,white_green_75,WHITE 25 / GREEN 75,"{""white"":25,""green"":75}",128,140,121,93,114,94,0.318775,0.362708,56.8072,-8.0864,8.6826
22,black_yellow_50,BLACK 50 / YELLOW 50,"{""black"":50,""yellow"":50}",126,118,81,112,109,74,0.368694,0.400271,49.4804,-2.9364,21.5270
23,black_red_50,BLACK 50 / RED 50,"{""black"":50,""red"":50}",96,72,78,93,70,75,0.348650,0.314078,33.2901,11.2822,0.3916
24,black_blue_50,BLACK 50 / BLUE 50,"{""black"":50,""blue"":50}",70,81,104,65,84,105,0.261988,0.269221,34.3676,1.7119,-14.7123
25,black_green_50,BLACK 50 / GREEN 50,"{""black"":50,""green"":50}",80,93,95,73,85,78,0.290398,0.323933,38.4812,-4.5337,-2.8393
26,yellow_red_50,YELLOW 50 / RED 50,"{""yellow"":50,""red"":50}",146,122,72,140,108,69,0.403582,0.413980,52.3967,2.5027,30.6955
27,yellow_blue_50,YELLOW 50 / BLUE 50,"{""yellow"":50,""blue"":50}",125,132,111,106,124,99,0.327162,0.367814,54.0378,-6.6008,10.4774
28,yellow_green_50,YELLOW 50 / GREEN 50,"{""yellow"":50,""green"":50}",132,137,79,116,126,72,0.367387,0.431883,55.4429,-11.1799,30.4319
29,red_blue_50,RED 50 / BLUE 50,"{""red"":50,""blue"":50}",95,84,106,87,82,100,0.297360,0.278185,37.5069,9.2089,-10.9820
30,red_green_50,RED 50 / GREEN 50,"{""red"":50,""green"":50}",103,96,81,96,84,73,0.345649,0.363513,40.9665,0.0332,9.5879
31,blue_green_50,BLUE 50 / GREEN 50,"{""blue"":50,""green"":50}",73,107,118,68,98,103,0.258520,0.303576,43.1215,-9.1633,-10.0191
32,skin_wyr,SKIN MIX W/Y/R,"{""white"":68,""yellow"":24,""red"":8}",151,153,136,151,151,127,0.326718,0.355764,62.6252,-3.8607,8.6937
33,sky_wb,SKY MIX W/B,"{""white"":78,""blue"":22}",132,147,156,128,146,154,0.289483,0.314294,60.0445,-3.4165,-6.5637
34,foliage_gyk,FOLIAGE MIX G/Y/K,"{""green"":58,""yellow"":24,""black"":18}",108,119,87,94,106,75,0.336324,0.395897,48.3480,-10.1889,16.2807
